name_th,name_en,provider,network_suggested,connector_summary,address,province_th,lat,lon,style,source_url
โรบินสัน ไลฟ์สไตล์ สุรินทร์,Robinson Lifestyle Surin,PTT,EV Station PluZ,"CCS2, Type 2",338 ม.16 ต.สลักได อ.เมืองสุรินทร์ สุรินทร์ 32000,สุรินทร์,14.87607,103.532,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ท็อปส์ พลาซ่า สิงห์บุรี,Tops Plaza Singburi,PTT,EV Station PluZ,"CCS2, Type 2",150 ม.1 ต.บางมัญ อ.เมืองสิงห์บุรี สิงห์บุรี 16000,สิงห์บุรี,14.9053502746,100.409250165,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
โรบินสัน ไลฟ์สไตล์ ปราจีนบุรี,Robinson Lifestyle Prachinburi,PTT,EV Station PluZ,"CCS2, Type 2",72 ม.3 ต.บางบริบูรณ์ อ.เมืองปราจีนบุรี ปราจีนบุรี 25000,ปราจีนบุรี,14.05908,101.396,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เบนซ์ ไพรม์มัส ออโต้เฮาส์,Benz Primus Autohaus,PTT,EV Station PluZ,"CCS2, Type 2",395 ถ.ประดิษฐ์มนูธรรม แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,กรุงเทพมหานคร,13.77312,100.6057,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.ชัย พรหมบุรี ปิโตรเลียม,PTT Chai Phromburi Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",130 ม.4 ถ.เอเชีย ต.บ้านหม้อ อ.พรหมบุรี สิงห์บุรี 16120,สิงห์บุรี,14.73196,100.4555,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.พ.เพชรธนวรรณ,PTT P. Petchthanawan,PTT,EV Station PluZ,CCS2,3/14 ม.3 ต.บ้านใหม่ อ.ปากเกร็ด นนทบุรี 11120,นนทบุรี,13.938589,100.549099,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.พันธ์เจริญกรุ๊ป,PTT Puncharoen Group,PTT,EV Station PluZ,CCS2,12/3 ม.3 ต.ลำตาเสา อ.วังน้อย พระนครศรีอยุธยา 13170,พระนครศรีอยุธยา,14.23578,100.7241,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.แสงอารี  (6),PTT Sang Aree Station (6),PTT,EV Station PluZ,"CCS2, Type 2",56 ถ.คู้บอน แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510,กรุงเทพมหานคร,13.85679,100.6815,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.สหธราทรัพย์ ปิโตรเลียม,PTT Sahatarasup Petroleum,PTT,EV Station PluZ,CCS2,37/4 ม.10 ต.พรหมณี อ.เมืองนครนายก นครนายก 26000,นครนายก,14.22014,101.1883,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.23 ปิโตรเลียม(2005),PTT 23 Petroleum (2005),PTT,EV Station PluZ,CCS2,81 ม.7 ต.บ้านกรด อ.บางปะอิน พระนครศรีอยุธยา 13160,พระนครศรีอยุธยา,14.30419,100.6143,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ภูเก็ต แมริออท รีสอร์ทแอนด์สปา เมอร์ลินบีช,"Phuket Marriott Resort & Spa, Merlin Beach",PTT,EV Station PluZ,CCS2,99 ถ.หมื่นเงิน  ต.ป่าตอง อ.กะทู้ ภูเก็ต 83150,ภูเก็ต,7.882443,98.2718,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.จรรโลงพานิช,PTT Charonlongpanich,PTT,EV Station PluZ,"CCS2, Type 2",1077/1  ถ.แสงชูโต ต.ท่าม่วง อ.ท่าม่วง กาญจนบุรี 71110,กาญจนบุรี,13.97972,99.62369,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ริเวอร์ เคิร์ฟ เขาใหญ่ เรสเทอรองท์ แอนด์ คาเฟ่,River Curve Khaoyai Restaurant & Cafe,PTT,EV Station PluZ,"CCS2, Type 2",944/9  ถ.มิตรภาพ ต.ปากช่อง อ.ปากช่อง นครราชสีมา 30130,นครราชสีมา,14.7167514394,101.4307453153,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เดอะ เซ้นส์ ปิ่นเกล้า,The Sense Pinklao,PTT,EV Station PluZ,"CCS2, Type 2",71/50  ถ.บรมราชชนนี แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,กรุงเทพมหานคร,13.77983,100.475,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท แอลพีจี ออโต้  หจก.สกลปิโตรเลียม สเตชัน,LPG Auto Station Sakon Petroleum Station,PTT,EV Station PluZ,"CCS2, Type 2",342/1-3  ถ.สกลนคร-กาฬสินธุ์ ต.ธาตุเชิงชุม อ.เมืองสกลนคร สกลนคร 47000,สกลนคร,17.14504,104.1222,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท แอลพีจี ออโต้  หจก.ปัญญรัตน์,LPG Auto Station Panyarat,PTT,EV Station PluZ,"CCS2, Type 2",27/2 ม.1 ต.ท่าตอ อ.มหาราช พระนครศรีอยุธยา 13150,พระนครศรีอยุธยา,14.57441,100.4893,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.ตรงตวงปิโตรเลียม,PTT Trong Tuang Petroleum,PTT,EV Station PluZ,CCS2,2/1 ม.2 ถ.เพชรเกษม ต.แสงอรุณ อ.ทับสะแก ประจวบคีรีขันธ์ 77130,ประจวบคีรีขันธ์,11.57838,99.64787,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
โรบินสัน ไลฟ์สไตล์ มุกดาหาร,Robinson Lifestyle Mukdahan,PTT,EV Station PluZ,"CCS2, Type 2",99/11  ถ.ชยางกูร ต.มุกดาหาร อ.เมืองมุกดาหาร มุกดาหาร 49000,มุกดาหาร,16.56934,104.7185,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.บดีศร ออยล์ เซอร์วิส,PTT Bodisorn Oil Service,PTT,EV Station PluZ,CCS2,"11/10,11/11,11/12  ถ.เจ้าคุณทหาร  แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520",กรุงเทพมหานคร,13.750937,100.787356,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
โรงแรม ลาบาริส,Hotel Labaris,PTT,EV Station PluZ,"CCS2, Type 2",9/9 ม.4 ต.หมูสี อ.ปากช่อง นครราชสีมา 30130,นครราชสีมา,14.54136,101.4055,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บางละมุง,PTT Bang Lamung,PTT,EV Station PluZ,CCS2,193/7 ม.2 ต.นาเกลือ อ.บางละมุง ชลบุรี 20150,ชลบุรี,12.98299,100.9193,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.โกมลประนอมบริการ,PTT Komolpranorm Service,PTT,EV Station PluZ,"CCS2, Type 2",56 ม.10 ถ.สุขุมวิท ต.ตะพง อ.เมืองระยอง ระยอง 21000,ระยอง,12.64434,101.3525,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.สมาพันธ์พัฒนา,PTT Samaphanpattana,PTT,EV Station PluZ,CCS2,65/3 ม.3 ถ.สุขุมวิท ต.เชิงเนิน อ.เมืองระยอง ระยอง 21000,ระยอง,12.69723,101.2668,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.นิตยา แกรนด์ ปิโตรเลียม,PTT Nittaya Grand Petroleum,PTT,EV Station PluZ,CCS2,4/16 ม.3 ต.มาบยางพร อ.ปลวกแดง ระยอง 21140,ระยอง,13.00083,101.1308,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.อินออยล์ 2559,PTT In Oil 2016,PTT,EV Station PluZ,CCS2,388 ม.5 ต.ปลวกแดง อ.ปลวกแดง ระยอง 21140,ระยอง,12.99996,101.2032,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เดอะ วัน ลาดปลาดุก,THE ONE LADPRADUK,PTT,EV Station PluZ,"CCS2, Type 2",97/3 ม.8 ต.บางรักพัฒนา อ.บางบัวทอง นนทบุรี 11110,นนทบุรี,13.9097,100.3867,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.จันเสนออยล์,PTT Chansen Oil,PTT,EV Station PluZ,CCS2,97 ม.4 ต.สร้อยทอง อ.ตาคลี นครสวรรค์ 60210,นครสวรรค์,15.1041523577,100.388864776,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท เหมราชมาบปู,PTT Hemaraj Mappu,PTT,EV Station PluZ,CCS2,898/15 ม.8 ต.เขาคันทรง อ.ศรีราชา ชลบุรี 20110,ชลบุรี,13.08545,101.1684,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ปิโตรพลัส คอร์ปอเรชัน (หนองรี),PTT Petroplus Corporation (Nong Ri),PTT,EV Station PluZ,"CCS2, Type 2",98 ม.8 ต.หนองรี อ.เมืองชลบุรี ชลบุรี 20000,ชลบุรี,13.34158,101.0495,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.หยกพาณิชย์,PTT Yokpanit,PTT,EV Station PluZ,CCS2,115/2 ม.4 ถ.สุขุมวิท ต.ตะพง อ.เมืองระยอง ระยอง 21000,ระยอง,12.6545919177,101.3340412092,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.ระยองวีระพันธ์บริการ,PTT Rayong Veeraphan Service,PTT,EV Station PluZ,CCS2,383 ถ.สุขุมวิท ต.ห้วยโป่ง อ.เมืองระยอง ระยอง 21150,ระยอง,12.7376442879,101.126090384,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ไทม์เว็นเจอร์ส (5),PTT Timeventure (5),PTT,EV Station PluZ,CCS2,88 ม.5 ต.บึง อ.ศรีราชา ชลบุรี 20230,ชลบุรี,13.09368,100.9742,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.ศิริวิไลบริการ,PTT Siriwilai Service,PTT,EV Station PluZ,CCS2,219 ม.6 ถ.สุขุมวิท ต.นาเกลือ อ.บางละมุง ชลบุรี 20150,ชลบุรี,12.943751,100.903565,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บางทราย,PTT Bang Sai,PTT,EV Station PluZ,"CCS2, Type 2",144 ม.5 ถ.สุขุมวิท ต.บางทราย อ.เมืองชลบุรี ชลบุรี 20000,ชลบุรี,13.38783,100.9877,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท เมืองระยอง,PTT Mueang Rayong,PTT,EV Station PluZ,"CCS2, Type 2",851/1 ถ.สุขุมวิท ต.เชิงเนิน อ.เมืองระยอง ระยอง 21000,ระยอง,12.67522,101.2887,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ดาดฟ้า ลาซาล,Dadfa lasalle,PTT,EV Station PluZ,CCS2,539 ถ.ลาซาล  แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร 10260,กรุงเทพมหานคร,13.66334,100.6181,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท นิคมอีสเทิร์นซีบอร์ด,PTT Eastern Seaboard,PTT,EV Station PluZ,"CCS2, Type 2",789/24 ม.3 ต.บ่อวิน อ.ศรีราชา ชลบุรี 20230,ชลบุรี,13.03779,101.120157,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.คุณเท่ง(ชะอำ) ปิโตรเลียม,PTT Khun Teng (Cha-am) Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",720/1 ถ.เพชรเกษม ต.ชะอำ อ.ชะอำ เพชรบุรี 76120,เพชรบุรี,12.81475,99.94129,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ทีไอเอ็ม พัฒนาพลังงาน,PTT TIM Energy Development,PTT,EV Station PluZ,"CCS2, Type 2",554/39 ม.7 ต.เขาคันทรง อ.ศรีราชา ชลบุรี 20110,ชลบุรี,13.076811,101.176561,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.รัตนณิชาออยล์,PTT Rattananicha Oil,PTT,EV Station PluZ,CCS2,1/8 ม.4 ถ.สาย 331 ต.ท่าบุญมี อ.เกาะจันทร์ ชลบุรี 20240,ชลบุรี,13.39334,101.281,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.สิทธิชัยพัฒนาปิโตรเลียม,PTT Sittichai Phattana Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",99 ม.5 ต.โคกสะอาด อ.ศรีเทพ เพชรบูรณ์ 67170,เพชรบูรณ์,15.48197,101.0592,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.กนกภรณ์พังงา,PTT Kanokporn Phangnga,PTT,EV Station PluZ,"CCS2, Type 2",44/17 ม.1 ถ.เพชรเกษม ต.ลำแก่น อ.ท้ายเหมือง พังงา 82120,พังงา,8.59134,98.25702,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.พีอาร์ ปิโตรเลียม,PTT PR Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",403 ถ.มิตรภาพ-หนองคาย  ต.ในเมือง อ.เมืองนครราชสีมา นครราชสีมา 30000,นครราชสีมา,14.98978,102.0963,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.เอ็นริช,PTT En Rich Station,PTT,EV Station PluZ,CCS2,888 ถ.ทางหลวงแผ่นดินสาย 36 ต.มาบข่า อ.นิคมพัฒนา ระยอง 21180,ระยอง,12.75612,101.1904,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ชัยเสรีปิโตรเลียม,PTT Chai Seri Petroleum,PTT,EV Station PluZ,CCS2,212 ม.7 ถ.สาย331 ต.หนองเหียง อ.พนัสนิคม ชลบุรี 20140,ชลบุรี,13.48311,101.2791,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ออโต้วัน ปิโตรเลียม,PTT Auto One Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",9999 ถ.สุขุมวิท ต.เนินพระ อ.เมืองระยอง ระยอง 21150,ระยอง,12.701826,101.188711,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ไพรบึง-เดชอุดม,PTT Phrai Bueng-Det Udom,PTT,EV Station PluZ,CCS2,206 ม.5 ต.สำโรงพลัน อ.ไพรบึง ศรีสะเกษ 33180,ศรีสะเกษ,14.68761,104.37906,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.ระยองส่งเสริมกิจ,PTT Rayong Songsermkit,PTT,EV Station PluZ,CCS2,244 ม.1 ต.นิคมพัฒนา อ.นิคมพัฒนา ระยอง 21180,ระยอง,12.83358,101.206,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท เทพา,PTT Thepha,PTT,EV Station PluZ,CCS2,205 ม.2 ต.เทพา อ.เทพา สงขลา 90150,สงขลา,6.871079,100.959,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.โกมลประนอม ปิโตรเลียม,PTT Komolpranorm Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",99/2 ม.4 ต.ชากโดน อ.แกลง ระยอง 21110,ระยอง,12.7299,101.5853,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เบอร์เกอร์ คิง รัชดา ไดร์ฟทรู,Burger King Ratchada Drive Thru,PTT,EV Station PluZ,"CCS2, Type 2",42 ถ.รัชดาภิเษก แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,กรุงเทพมหานคร,13.81967,100.5756,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ศรีราชา,PTT Sri Racha,PTT,EV Station PluZ,"CCS2, Type 2",9 ถ.สุขุมวิท ต.ศรีราชา อ.ศรีราชา ชลบุรี 20110,ชลบุรี,13.18211,100.9322,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.หลิ่มรุ่งทรัพย์  2,PTT Limroongsup Branch 2,PTT,EV Station PluZ,CCS2,4 ม.13 ถ.พหลโยธิน ต.เมืองพาน อ.พาน เชียงราย 57120,เชียงราย,19.5400419,99.7416105,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท ท่าสองคอน,PTT Tha Song Khon,PTT,EV Station PluZ,"CCS2, Type 2",558/7 ม.1 ต.ท่าสองคอน อ.เมืองมหาสารคาม มหาสารคาม 44000,มหาสารคาม,16.19199,103.2392,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.อรุณรุ่ง ออยล์,PTT Arunrung Oil,PTT,EV Station PluZ,"CCS2, Type 2",168 ม.3 ต.ปาเสมัส อ.สุไหงโก-ลก นราธิวาส 96120,นราธิวาส,6.049146,101.9994,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.บูรพาปิโตรเลียม (1995),PTT Burapha Petroleum (1995),PTT,EV Station PluZ,"CCS2, Type 2",54 ถ.สาย 36 ต.มาบข่า อ.นิคมพัฒนา ระยอง 21180,ระยอง,12.76459,101.1799,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
อวานี พลัส เขาหลัก รีสอร์ท,Avani+ Khao Lak Resort,PTT,EV Station PluZ,"CCS2, Type 2",99 ม.8 ต.บางม่วง อ.ตะกั่วป่า พังงา 82190,พังงา,8.763666,98.26556,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท สิงหนคร,PTT Singhanakhon,PTT,EV Station PluZ,"CCS2, Type 2",80/4 ม.4 ถ.เขาแดง-ระโนด ต.ม่วงงาม อ.สิงหนคร สงขลา 90330,สงขลา,7.34681,100.4792,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.ละงูปิโตรเลียม,PTT La-ngu Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",227 ม.9 ต.ละงู อ.ละงู สตูล 91110,สตูล,6.88545,99.80917,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.เอส.เอส.ปิโตรเลี่ยม 2015,PTT S.S. Petroleum  2015,PTT,EV Station PluZ,"CCS2, Type 2",567 ม.7 ต.หนองบัว อ.เมืองอุดรธานี อุดรธานี 41000,อุดรธานี,17.43451,102.7996,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท แอลพีจี ออโต้  บจ.เคเอสเอ็ม ออโต้แก๊ส,LPG Auto Station KSM Auto Gas,PTT,EV Station PluZ,"CCS2, Type 2",254 ถ.บางบอน 5 แขวงบางบอนเหนือ เขตบางบอน กรุงเทพมหานคร 10150,กรุงเทพมหานคร,13.6430197269,100.3673198644,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.นาคะประสิทธิ์,PTT Nakhaprasit,PTT,EV Station PluZ,CCS2,222/93 ม.10 ต.บางเสร่ อ.สัตหีบ ชลบุรี 20250,ชลบุรี,12.73172,100.9095,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.เมเจอร์ ออยล์,PTT Major Oil,PTT,EV Station PluZ,CCS2,33 ม.3 ต.กุฎโง้ง อ.พนัสนิคม ชลบุรี 20140,ชลบุรี,13.44407,101.1553,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.ทรัพย์อนันต์ออยล์,PTT Sup Anun Oil,PTT,EV Station PluZ,CCS2,87 ม.9 ต.ทุ่งขวาง อ.พนัสนิคม ชลบุรี 20140,ชลบุรี,13.39147,101.1927,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.พีทีดี กรุ๊ป 1441,PTT PTD Group 1441,PTT,EV Station PluZ,"CCS2, Type 2",2/13 ม.4 ต.ท่าสาป อ.เมืองยะลา ยะลา 95000,ยะลา,6.563333,101.2615,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท หจก.ตันติชัยปิโตรเลียม,PTT Tantichai Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",227/10 ม.6 ถ.สุขุมวิท ต.ทุ่งควายกิน อ.แกลง ระยอง 21110,ระยอง,12.78282,101.6916,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เดอะ ทรี บางบอน,The Tree Bang Bon,PTT,EV Station PluZ,"CCS2, Type 2",92 ซ.พระราม 2 ซอย 51 ถ.พระราม 2 แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,กรุงเทพมหานคร,13.67915,100.3833,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.พระราม 2 ปิโตรเลียม,PTT Rama 2 Petroleum,PTT,EV Station PluZ,"CCS2, Type 2",13/12 ม.6 ถ.พระราม 2 ต.คลองโคน อ.เมืองสมุทรสงคราม สมุทรสงคราม 75000,สมุทรสงคราม,13.35704,99.93816,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ตำไทบ้านอิสาณ,Tum Thai Baan E-san,PTT,EV Station PluZ,"CCS2, Type 2",133/3 ม.13 ถ.สุรนารายณ์ ต.จอหอ อ.เมืองนครราชสีมา นครราชสีมา 30310,นครราชสีมา,14.9904,102.1192,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
บิ๊กซี ตาก,BigC Tak,PTT,EV Station PluZ,"CCS2, Type 2",18/3  ถ.พหลโยธิน ต.ระแหง อ.เมืองตาก ตาก 63000,ตาก,16.86706,99.13463,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
บิ๊กซี วารินชำราบ,BigC VarinChamrab,PTT,EV Station PluZ,"CCS2, Type 2",322 ม.8 ต.แสนสุข อ.วารินชำราบ อุบลราชธานี 34190,อุบลราชธานี,15.16519,104.8544,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
บิ๊กซี ขอนแก่น 2,BigC KhonKaen 2,PTT,EV Station PluZ,"CCS2, Type 2",177 ม.9 ต.เมืองเก่า อ.เมืองขอนแก่น ขอนแก่น 40000,ขอนแก่น,16.39,102.8391,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
บิ๊กซี ยโสธร,BigC Yasothon,PTT,EV Station PluZ,"CCS2, Type 2",323 ม.2 ต.สำราญ อ.เมืองยโสธร ยโสธร 35000,ยโสธร,15.82773,104.1148,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
บิ๊กซี อุดรธานี 1,BigC Udon Thani 1,PTT,EV Station PluZ,"CCS2, Type 2",415 ม.3 ต.หมากแข้ง อ.เมืองอุดรธานี อุดรธานี 41000,อุดรธานี,17.3866,102.8245,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
บิ๊กซี มุกดาหาร,BigC Mukdahan,PTT,EV Station PluZ,"CCS2, Type 2",77/11  ถ.ชยางกูร ต.มุกดาหาร อ.เมืองมุกดาหาร มุกดาหาร 49000,มุกดาหาร,16.55506,104.7176,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
