source_project,source_file,source_date_be,area_type,province_code,province,area_code,area_name,male,female,population,households
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,20,ชลบุรี,2090,ท้องถิ่นเทศบาลนครบ้านสวน,34303,34840,69143,46886
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,20,ชลบุรี,2091,ท้องถิ่นเทศบาลตำบลบางทราย,6095,4804,10899,7527
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,20,ชลบุรี,2092,ท้องถิ่นเทศบาลตำบลคลองตำหรุ,2157,2455,4612,7435
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,20,ชลบุรี,2093,ท้องถิ่นเทศบาลนครแหลมฉบัง,46080,47971,94051,87473
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,20,ชลบุรี,2094,ท้องถิ่นเทศบาลเมืองแสนสุข,21516,24926,46442,42490
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,20,ชลบุรี,2095,ท้องถิ่นเทศบาลเมืองบ้านบึง,8827,10117,18944,11101
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,20,ชลบุรี,2096,ท้องถิ่นเมืองพัทยา,52861,63239,116100,180400
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,20,ชลบุรี,2097,ท้องถิ่นเทศบาลเมืองศรีราชา,11160,14090,25250,8981
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,20,ชลบุรี,2098,ท้องถิ่นเทศบาลเมืองพนัสนิคม,4361,5177,9538,5123
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,20,ชลบุรี,2099,ท้องถิ่นเทศบาลเมืองชลบุรี,10418,11618,22036,12521
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2101,อำเภอเมืองระยอง,51240,53441,104681,71429
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2102,อำเภอบ้านฉาง,5670,5500,11170,5655
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2103,อำเภอแกลง,32481,35071,67552,33867
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2104,อำเภอวังจันทร์,11077,11187,22264,11972
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2105,อำเภอบ้านค่าย,34450,36270,70720,40593
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2106,อำเภอปลวกแดง,43812,43024,86836,122643
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2107,อำเภอเขาชะเมา,11694,11900,23594,11833
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2108,อำเภอนิคมพัฒนา,13832,13905,27737,24835
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2177,ท้องถิ่นเทศบาลตำบลพลา,4315,4337,8652,5981
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2178,ท้องถิ่นเทศบาลตำบลเนินฆ้อ,2222,2362,4584,2115
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2179,ท้องถิ่นเทศบาลตำบลทับมา,13006,13348,26354,18873
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2180,ท้องถิ่นเทศบาลตำบลบ้านนา,4221,4433,8654,3709
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2181,ท้องถิ่นเทศบาลตำบลมาบข่าพัฒนา,6211,6283,12494,9234
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2182,ท้องถิ่นเทศบาลตำบลบ้านฉาง,8418,8857,17275,10386
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2183,ท้องถิ่นเทศบาลเมืองมะขามคู่,7885,7924,15809,15238
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2184,ท้องถิ่นเทศบาลเมืองนิคมพัฒนา,5834,5802,11636,9254
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2185,ท้องถิ่นเทศบาลตำบลบ้านปลวกแดง,2620,2962,5582,4672
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2186,ท้องถิ่นเทศบาลตำบลจอมพลเจ้าพระยา,197,180,377,624
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2187,ท้องถิ่นเทศบาลตำบลบ้านค่าย,1599,1746,3345,2209
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2188,ท้องถิ่นเทศบาลตำบลชุมแสง,1827,1895,3722,2546
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2189,ท้องถิ่นเทศบาลตำบลสุนทรภู่,7169,7985,15154,10783
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2190,ท้องถิ่นเทศบาลตำบลปากน้ำประแส,2194,2340,4534,2122
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2191,ท้องถิ่นเทศบาลตำบลทุ่งควายกิน,3030,3382,6412,4273
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2192,ท้องถิ่นเทศบาลตำบลกองดิน,2309,2382,4691,1954
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2193,ท้องถิ่นเทศบาลตำบลสำนักท้อน,5570,5754,11324,6499
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2194,ท้องถิ่นเทศบาลเมืองบ้านฉาง,15561,16639,32200,22479
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2195,ท้องถิ่นเทศบาลตำบลบ้านเพ,8707,9605,18312,12899
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2196,ท้องถิ่นเทศบาลตำบลแกลงกะเฉด,3444,3714,7158,3651
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2197,ท้องถิ่นเทศบาลนครมาบตาพุด,40256,40844,81100,70610
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2198,ท้องถิ่นเทศบาลตำบลเมืองแกลง,8554,9639,18193,12129
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,21,ระยอง,2199,ท้องถิ่นเทศบาลนครระยอง,26888,30726,57614,39368
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2201,อำเภอเมืองจันทบุรี,23216,25869,49085,25153
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2202,อำเภอขลุง,12458,13016,25474,10920
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2203,อำเภอท่าใหม่,23211,24295,47506,19628
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2204,อำเภอโป่งน้ำร้อน,11039,10554,21593,9339
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2205,อำเภอมะขาม,15320,15953,31273,14687
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2206,อำเภอแหลมสิงห์,6706,7062,13768,5584
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2207,อำเภอสอยดาว,18541,18273,36814,15689
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2208,อำเภอแก่งหางแมว,21454,21388,42842,23104
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2209,อำเภอนายายอาม,14848,15930,30778,12970
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2210,อำเภอเขาคิชฌกูฏ,6324,6546,12870,5936
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2272,ท้องถิ่นเทศบาลตำบลเขาบายศรี,3040,3225,6265,2707
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2273,ท้องถิ่นเทศบาลตำบลคลองใหญ่,2684,2703,5387,2214
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2274,ท้องถิ่นเทศบาลตำบลหนองตาคง,5178,4979,10157,4234
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2275,ท้องถิ่นเทศบาลตำบลตกพรม,1996,2159,4155,1726
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2276,ท้องถิ่นเทศบาลตำบลเกวียนหัก,2131,2503,4634,2414
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2277,ท้องถิ่นเทศบาลตำบลบ่อ,3430,3612,7042,2963
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2278,ท้องถิ่นเทศบาลตำบลชากไทย,2116,2245,4361,1991
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2279,ท้องถิ่นเทศบาลตำบลตะเคียนทอง,2382,2352,4734,1966
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2280,ท้องถิ่นเทศบาลเมืองเกาะขวาง,8676,9696,18372,9190
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2281,ท้องถิ่นเทศบาลตำบลบ่อเวฬุ,2299,2124,4423,2730
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2282,ท้องถิ่นเทศบาลตำบลพลวง,3569,3754,7323,4401
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2283,ท้องถิ่นเทศบาลตำบลทับช้าง,8032,8064,16096,6414
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2284,ท้องถิ่นเทศบาลตำบลนายายอาม,1592,1799,3391,2057
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2285,ท้องถิ่นเทศบาลตำบลสอยดาว,5498,5665,11163,6689
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2286,ท้องถิ่นเทศบาลตำบลพลิ้ว,3174,3653,6827,3289
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2287,ท้องถิ่นเทศบาลตำบลปากน้ำแหลมสิงห์,4076,4329,8405,3576
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2288,ท้องถิ่นเทศบาลตำบลมะขาม,762,875,1637,1042
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2289,ท้องถิ่นเทศบาลตำบลโป่งน้ำร้อน,5139,4306,9445,4545
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2290,ท้องถิ่นเทศบาลตำบลหนองคล้า,1720,1946,3666,2277
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2291,ท้องถิ่นเทศบาลตำบลเนินสูง,1463,1562,3025,1801
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2292,ท้องถิ่นเทศบาลตำบลหนองบัว,992,1138,2130,995
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2293,ท้องถิ่นเทศบาลตำบลพลับพลานารายณ์,4885,5491,10376,6995
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2294,ท้องถิ่นเทศบาลตำบลบางกะจะ,2490,2680,5170,2435
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2295,ท้องถิ่นเทศบาลเมืองท่าช้าง,6452,7555,14007,11622
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2296,ท้องถิ่นเทศบาลเมืองจันทนิมิต,5266,6010,11276,8044
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2297,ท้องถิ่นเทศบาลเมืองขลุง,4604,5262,9866,4365
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2298,ท้องถิ่นเทศบาลเมืองท่าใหม่,4572,5227,9799,4877
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,22,จันทบุรี,2299,ท้องถิ่นเทศบาลเมืองจันทบุรี,9667,10761,20428,15178
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2301,อำเภอเมืองตราด,35963,38689,74652,38143
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2302,อำเภอคลองใหญ่,7261,6949,14210,5714
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2303,อำเภอเขาสมิง,19815,20104,39919,18925
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2304,อำเภอบ่อไร่,9474,9060,18534,7967
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2305,อำเภอแหลมงอบ,7234,7012,14246,6230
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2306,อำเภอเกาะกูด,1548,1430,2978,2327
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2307,อำเภอเกาะช้าง,4334,4417,8751,6491
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2389,ท้องถิ่นเทศบาลตำบลตะกาง,1243,1342,2585,1434
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2390,ท้องถิ่นเทศบาลตำบลหนองบอน,3620,3528,7148,4026
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2391,ท้องถิ่นเทศบาลตำบลแหลมงอบ,837,843,1680,776
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2392,ท้องถิ่นเทศบาลตำบลน้ำเชี่ยว,1474,1596,3070,1363
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2393,ท้องถิ่นเทศบาลตำบลบ่อพลอย,4176,4245,8421,5888
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2394,ท้องถิ่นเทศบาลตำบลแสนตุ้ง,1495,1580,3075,2453
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2395,ท้องถิ่นเทศบาลตำบลเขาสมิง,729,710,1439,623
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2396,ท้องถิ่นเทศบาลตำบลหาดเล็ก,2652,2541,5193,2090
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2397,ท้องถิ่นเทศบาลตำบลคลองใหญ่,2520,2610,5130,2462
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2398,ท้องถิ่นเทศบาลตำบลท่าพริกเนินทราย,3091,3408,6499,3256
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,23,ตราด,2399,ท้องถิ่นเทศบาลเมืองตราด,3808,4253,8061,5599
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2401,อำเภอเมืองฉะเชิงเทรา,61605,65477,127082,57327
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2402,อำเภอบางคล้า,14614,15701,30315,13566
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2403,อำเภอบางน้ำเปรี้ยว,36645,37311,73956,24441
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2404,อำเภอบางปะกง,29488,30596,60084,30213
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2405,อำเภอบ้านโพธิ์,22763,24636,47399,23976
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2406,อำเภอพนมสารคาม,28541,30544,59085,27502
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2407,อำเภอราชสาส์น,6144,6367,12511,5167
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2408,อำเภอสนามชัยเขต,35570,35515,71085,24773
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2409,อำเภอแปลงยาว,12216,12019,24235,14805
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2410,อำเภอท่าตะเกียบ,23452,23063,46515,18360
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2411,อำเภอคลองเขื่อน,5997,6261,12258,4857
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2474,ท้องถิ่นเทศบาลตำบลบางวัวคณารักษ์,5595,6084,11679,9839
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2475,ท้องถิ่นเทศบาลตำบลพิมพา,1864,1995,3859,4581
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2476,ท้องถิ่นเทศบาลตำบลวังเย็น,4994,5065,10059,3976
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2477,ท้องถิ่นเทศบาลตำบลดอนเกาะกา,4357,4241,8598,2553
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2478,ท้องถิ่นเทศบาลตำบลหัวสำโรง,3385,3540,6925,4317
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2479,ท้องถิ่นเทศบาลตำบลแปลงยาว,3091,3219,6310,3908
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2480,ท้องถิ่นเทศบาลตำบลทุ่งสะเดา,2947,2772,5719,4838
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2481,ท้องถิ่นเทศบาลตำบลสนามชัยเขต,1987,2234,4221,3089
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2482,ท้องถิ่นเทศบาลตำบลพนมสารคาม,2777,3288,6065,4323
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2483,ท้องถิ่นเทศบาลตำบลเขาหินซ้อน,8080,8340,16420,8132
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2484,ท้องถิ่นเทศบาลตำบลเกาะขนุน,958,1064,2022,1161
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2485,ท้องถิ่นเทศบาลตำบลบ้านโพธิ์,1373,1476,2849,1471
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2486,ท้องถิ่นเทศบาลตำบลเทพราช,1934,2076,4010,1322
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2487,ท้องถิ่นเทศบาลตำบลบางวัว,1130,1270,2400,2036
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2488,ท้องถิ่นเทศบาลตำบลบางปะกง,2789,3058,5847,2973
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2489,ท้องถิ่นเทศบาลตำบลหอมศีล,607,646,1253,330
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2490,ท้องถิ่นเทศบาลตำบลท่าสะอ้าน,1917,2055,3972,2871
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2491,ท้องถิ่นเทศบาลตำบลท่าข้าม,3570,3802,7372,9699
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2492,ท้องถิ่นเทศบาลตำบลศาลาแดง,697,757,1454,577
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2493,ท้องถิ่นเทศบาลตำบลบางน้ำเปรี้ยว,1087,1133,2220,1241
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2494,ท้องถิ่นเทศบาลตำบลบางขนาก,1049,1022,2071,837
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2495,ท้องถิ่นเทศบาลตำบลดอนฉิมพลี,751,757,1508,743
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2496,ท้องถิ่นเทศบาลตำบลปากน้ำ,2560,2826,5386,2845
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2497,ท้องถิ่นเทศบาลตำบลนครเนื่องเขต,608,715,1323,507
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2498,ท้องถิ่นเทศบาลตำบลบางคล้า,4431,5214,9645,5103
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,24,ฉะเชิงเทรา,2499,ท้องถิ่นเทศบาลเมืองฉะเชิงเทรา,16871,18817,35688,23018
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2501,อำเภอเมืองปราจีนบุรี,45408,42768,88176,38493
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2502,อำเภอกบินทร์บุรี,59694,61625,121319,48939
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2503,อำเภอนาดี,22022,22306,44328,19463
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2506,อำเภอบ้านสร้าง,13322,13871,27193,10000
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2507,อำเภอประจันตคาม,24232,25481,49713,18863
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2508,อำเภอศรีมหาโพธิ,39806,42023,81829,61951
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2509,อำเภอศรีมโหสถ,6642,6896,13538,7132
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2586,ท้องถิ่นเทศบาลเมืองหนองกี่,7759,8235,15994,9173
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2587,ท้องถิ่นเทศบาลตำบลโคกมะกอก,1052,1163,2215,894
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2588,ท้องถิ่นเทศบาลตำบลโคกปีบ,2669,2926,5595,2431
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2589,ท้องถิ่นเทศบาลตำบลศรีมหาโพธิ,1707,1833,3540,2603
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2590,ท้องถิ่นเทศบาลตำบลกรอกสมบูรณ์,1759,1816,3575,1359
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2591,ท้องถิ่นเทศบาลตำบลประจันตคาม,1989,2203,4192,2448
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2592,ท้องถิ่นเทศบาลตำบลบ้านสร้าง,1570,1634,3204,1741
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2593,ท้องถิ่นเทศบาลตำบลนาดี,3879,4057,7936,3516
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2594,ท้องถิ่นเทศบาลตำบลสระบัว,865,898,1763,670
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2595,ท้องถิ่นเทศบาลตำบลเมืองเก่า,3238,3371,6609,4681
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2596,ท้องถิ่นเทศบาลตำบลบ้านนาปรือ,1097,1124,2221,849
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2598,ท้องถิ่นเทศบาลตำบลกบินทร์,1610,1819,3429,2230
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,25,ปราจีนบุรี,2599,ท้องถิ่นเทศบาลเมืองปราจีนบุรี,7201,8384,15585,9227
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,26,นครนายก,2601,อำเภอเมืองนครนายก,42623,42637,85260,38767
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,26,นครนายก,2602,อำเภอปากพลี,10718,11350,22068,9360
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,26,นครนายก,2603,อำเภอบ้านนา,32034,32148,64182,26425
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,26,นครนายก,2604,อำเภอองครักษ์,31053,32147,63200,24447
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,26,นครนายก,2695,ท้องถิ่นเทศบาลตำบลองครักษ์,1212,1332,2544,1399
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,26,นครนายก,2696,ท้องถิ่นเทศบาลตำบลบ้านนา,2114,2400,4514,2635
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,26,นครนายก,2697,ท้องถิ่นเทศบาลตำบลเกาะหวาย,796,879,1675,773
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,26,นครนายก,2698,ท้องถิ่นเทศบาลตำบลท่าช้าง,489,506,995,318
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,26,นครนายก,2699,ท้องถิ่นเทศบาลเมืองนครนายก,7223,8022,15245,9063
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,27,สระแก้ว,2701,อำเภอเมืองสระแก้ว,43628,42997,86625,31986
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,27,สระแก้ว,2702,อำเภอคลองหาด,19495,19480,38975,14636
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,27,สระแก้ว,2703,อำเภอตาพระยา,27398,27315,54713,17629
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,27,สระแก้ว,2704,อำเภอวังน้ำเย็น,20114,20048,40162,15873
EV Hub,dopa_population_amphoe_2568_stat_a68.txt,2568,district,27,สระแก้ว,2705,อำเภอวัฒนานคร,38497,38126,76623,29191
